Transaction_ID,Items
1,"Rice (5kg), Eggs (Dozen), Diapers, Bananas (1kg)"
2,"Diapers, Bananas (1kg)"
3,"Shampoo, Bananas (1kg), Bread (Whole Wheat)"
4,Bananas (1kg)
5,"Bread (Whole Wheat), Milk (1L)"
6,"Rice (5kg), Canned Beans (400g)"
7,"Diapers, Shampoo"
8,"Diapers, Bread (Whole Wheat), Canned Beans (400g)"
9,"Canned Beans (400g), Milk (1L), Toothpaste, Bananas (1kg)"
10,"Milk (1L), Rice (5kg), Shampoo, Bananas (1kg)"
11,Bread (Whole Wheat)
12,"Eggs (Dozen), T-shirts, Toothpaste, Rice (5kg), Shampoo"
13,Eggs (Dozen)
14,"Eggs (Dozen), Rice (5kg), Diapers, Bread (Whole Wheat)"
15,"Shampoo, Eggs (Dozen), Rice (5kg), Canned Beans (400g)"
16,Rice (5kg)
17,"Diapers, Milk (1L)"
18,"Shampoo, Rice (5kg), T-shirts, Diapers, Toothpaste"
19,"Diapers, Canned Beans (400g), Eggs (Dozen)"
20,"Bananas (1kg), Toothpaste"
